 No. Model         -LnL         df  AIC          AICc         BIC
  1  LG            35579.477    121 71400.953    71421.599    72047.976
  2  LG+I          34762.917    122 69769.835    69790.837    70422.205
  3  LG+G4         33990.160    122 68224.320    68245.322    68876.690
  4  LG+I+G4       33970.739    123 68187.478    68208.840    68845.196
  5  LG+R2         34217.833    123 68681.666    68703.028    69339.384
  6  LG+R3         33956.318    125 68162.635    68184.725    68831.048
  7  LG+R4         33907.248    127 68068.496    68091.327    68747.603
  8  LG+R5         33904.621    129 68067.241    68090.828    68757.043
 14  LG+I+R2       34032.954    124 68313.908    68335.632    68976.973
 15  LG+I+R3       33919.769    126 68091.538    68113.997    68765.298
 16  LG+I+R4       33902.917    128 68061.834    68085.042    68746.289
 17  LG+I+R5       33902.449    130 68064.897    68088.866    68760.046
 29  LG+F+R4       33881.619    146 68055.239    68085.790    68835.945
 38  LG+F+I+R4     33877.551    147 68049.103    68080.094    68835.156
 51  WAG+R4        34224.080    127 68702.161    68724.992    69381.268
 60  WAG+I+R4      34222.046    128 68700.092    68723.299    69384.546
 73  WAG+F+R4      34229.219    146 68750.438    68780.989    69531.144
 82  WAG+F+I+R4    34227.188    147 68748.377    68779.368    69534.430
 95  JTT+R4        34191.511    127 68637.023    68659.854    69316.130
104  JTT+I+R4      34188.985    128 68633.970    68657.177    69318.424
117  JTT+F+R4      34228.266    146 68748.533    68779.084    69529.239
126  JTT+F+I+R4    34225.790    147 68745.579    68776.571    69531.632
139  Q.PFAM+R4     33976.525    127 68207.049    68229.881    68886.156
148  Q.PFAM+I+R4   33973.467    128 68202.934    68226.141    68887.388
161  Q.PFAM+F+R4   33962.232    146 68216.464    68247.015    68997.170
170  Q.PFAM+F+I+R4 33959.290    147 68212.580    68243.571    68998.633
183  Q.BIRD+R4     34790.843    127 69835.686    69858.517    70514.793
192  Q.BIRD+I+R4   34782.997    128 69821.994    69845.201    70506.448
205  Q.BIRD+F+R4   34862.780    146 70017.560    70048.111    70798.266
214  Q.BIRD+F+I+R4 34853.698    147 70001.396    70032.388    70787.450
227  Q.MAMMAL+R4   34542.740    127 69339.480    69362.312    70018.587
236  Q.MAMMAL+I+R4 34538.197    128 69332.394    69355.601    70016.848
249  Q.MAMMAL+F+R4 34606.401    146 69504.802    69535.353    70285.507
258  Q.MAMMAL+F+I+R4 34600.694    147 69495.388    69526.379    70281.441
271  Q.INSECT+R4   33900.793    127 68055.585    68078.417    68734.692
280  Q.INSECT+I+R4 33898.362    128 68052.725    68075.932    68737.179
293  Q.INSECT+F+R4 33912.165    146 68116.331    68146.881    68897.036
302  Q.INSECT+F+I+R4 33910.051    147 68114.102    68145.094    68900.155
315  Q.PLANT+R4    34124.528    127 68503.056    68525.888    69182.164
324  Q.PLANT+I+R4  34119.424    128 68494.849    68518.056    69179.303
337  Q.PLANT+F+R4  34138.037    146 68568.074    68598.625    69348.779
346  Q.PLANT+F+I+R4 34133.538    147 68561.077    68592.068    69347.130
359  Q.YEAST+R4    33956.345    127 68166.690    68189.521    68845.797
368  Q.YEAST+I+R4  33953.400    128 68162.800    68186.007    68847.254
381  Q.YEAST+F+R4  33883.268    146 68058.537    68089.088    68839.243
390  Q.YEAST+F+I+R4 33880.733    147 68055.466    68086.458    68841.519
403  JTTDCMUT+R4   34182.127    127 68618.254    68641.085    69297.361
412  JTTDCMUT+I+R4 34181.026    128 68618.052    68641.260    69302.507
425  JTTDCMUT+F+R4 34215.435    146 68722.869    68753.420    69503.575
434  JTTDCMUT+F+I+R4 34214.310    147 68722.619    68753.611    69508.672
447  DCMUT+R4      34424.992    127 69103.984    69126.816    69783.092
456  DCMUT+I+R4    34424.634    128 69105.268    69128.475    69789.722
469  DCMUT+F+R4    34357.627    146 69007.253    69037.804    69787.959
478  DCMUT+F+I+R4  34357.229    147 69008.457    69039.449    69794.510
491  VT+R4         34361.509    127 68977.019    68999.850    69656.126
500  VT+I+R4       34360.862    128 68977.724    69000.932    69662.179
513  VT+F+R4       34386.062    146 69064.124    69094.675    69844.829
522  VT+F+I+R4     34385.346    147 69064.691    69095.683    69850.744
535  PMB+R4        34689.017    127 69632.035    69654.866    70311.142
544  PMB+I+R4      34688.223    128 69632.447    69655.654    70316.901
557  PMB+F+R4      34704.626    146 69701.252    69731.802    70481.957
566  PMB+F+I+R4    34703.682    147 69701.363    69732.355    70487.416
579  BLOSUM62+R4   34650.528    127 69555.057    69577.888    70234.164
588  BLOSUM62+I+R4 34649.796    128 69555.592    69578.799    70240.046
601  BLOSUM62+F+R4 34655.349    146 69602.697    69633.248    70383.403
610  BLOSUM62+F+I+R4 34654.265    147 69602.531    69633.522    70388.584
623  DAYHOFF+R4    34420.125    127 69094.251    69117.082    69773.358
632  DAYHOFF+I+R4  34419.937    128 69095.875    69119.082    69780.329
645  DAYHOFF+F+R4  34353.232    146 68998.465    69029.016    69779.171
654  DAYHOFF+F+I+R4 34353.004    147 69000.008    69030.999    69786.061
667  MTREV+R4      35963.650    127 72181.300    72204.131    72860.407
676  MTREV+I+R4    35955.123    128 72166.247    72189.454    72850.701
689  MTREV+F+R4    34610.147    146 69512.295    69542.846    70293.001
698  MTREV+F+I+R4  34606.437    147 69506.874    69537.866    70292.927
711  MTART+R4      36026.502    127 72307.003    72329.835    72986.110
720  MTART+I+R4    36001.213    128 72258.427    72281.634    72942.881
733  MTART+F+R4    34675.900    146 69643.799    69674.350    70424.505
742  MTART+F+I+R4  34664.005    147 69622.010    69653.001    70408.063
755  MTZOA+R4      35248.679    127 70751.358    70774.189    71430.465
764  MTZOA+I+R4    35230.624    128 70717.248    70740.455    71401.702
777  MTZOA+F+R4    34286.395    146 68864.791    68895.342    69645.497
786  MTZOA+F+I+R4  34279.070    147 68852.139    68883.131    69638.193
799  MTMET+R4      35876.744    127 72007.488    72030.319    72686.595
808  MTMET+I+R4    35864.459    128 71984.917    72008.125    72669.372
821  MTMET+F+R4    34593.762    146 69479.523    69510.074    70260.229
830  MTMET+F+I+R4  34586.627    147 69467.255    69498.246    70253.308
843  MTVER+R4      36328.330    127 72910.659    72933.491    73589.767
852  MTVER+I+R4    36313.397    128 72882.794    72906.001    73567.248
865  MTVER+F+R4    35121.241    146 70534.482    70565.033    71315.188
874  MTVER+F+I+R4  35115.198    147 70524.397    70555.388    71310.450
887  MTINV+R4      36024.619    127 72303.237    72326.069    72982.344
896  MTINV+I+R4    36014.736    128 72285.472    72308.679    72969.926
909  MTINV+F+R4    34384.152    146 69060.304    69090.855    69841.009
918  MTINV+F+I+R4  34380.049    147 69054.097    69085.089    69840.150
931  MTMAM+R4      36650.282    127 73554.563    73577.394    74233.670
940  MTMAM+I+R4    36621.790    128 73499.580    73522.787    74184.034
953  MTMAM+F+R4    35251.342    146 70794.684    70825.235    71575.390
962  MTMAM+F+I+R4  35233.843    147 70761.686    70792.677    71547.739
