Seq ID,Sequence,Valid sites,Cr
1,Norovirus_GI.1a,1785,0.970109
2,Norovirus_GI.1b,1788,0.971739
3,Norovirus_GI.1c,1799,0.977717
4,Norovirus_GI.1d,1799,0.977717
5,Norovirus_GI.1e,1769,0.961413
6,Norovirus_GI.1f,1789,0.972283
7,Norovirus_GI.1g,1802,0.979348
8,Norovirus_GI.1h,1802,0.979348
9,Norovirus_GI.1i,1802,0.979348
10,Norovirus_GI.1j,1802,0.979348
11,Norovirus_GII.1a,1696,0.921739
12,Norovirus_GII.1b,1698,0.922826
13,Norovirus_GII.1c,1693,0.920109
14,Norovirus_GII.1d,1697,0.922283
15,Norovirus_GII.1e,1702,0.925
16,Norovirus_GII.1f,1699,0.92337
17,Norovirus_GII.1g,1699,0.92337
18,Norovirus_GII.1h,1711,0.929891
19,Norovirus_GII.1i,1711,0.929891
20,Norovirus_GII.1j,1711,0.929891
21,Norovirus_GIII.1a,1684,0.915217
22,Norovirus_GIII.1b,1684,0.915217
23,Norovirus_GIII.1c,1682,0.91413
24,Norovirus_GIII.1d,1684,0.915217
25,Norovirus_GIII.1e,1684,0.915217
26,Norovirus_GIII.1f,1684,0.915217
27,Norovirus_GIII.1g,1684,0.915217
28,Norovirus_GIII.1h,1684,0.915217
29,Norovirus_GIII.1i,1684,0.915217
30,Norovirus_GIII.1j,1684,0.915217
31,Norovirus_GIV.1a,1746,0.948913
32,Norovirus_GIV.1b,1685,0.915761
33,Norovirus_GIV.1c,1691,0.919022
34,Norovirus_GIV.1d,1687,0.916848
35,Norovirus_GIV.1e,1746,0.948913
36,Norovirus_GIV.1f,1746,0.948913
37,Norovirus_GIV.1g,1746,0.948913
38,Norovirus_GIV.1h,1746,0.948913
39,Norovirus_GIV.1i,1737,0.944022
40,Norovirus_GIV.1j,1737,0.944022
41,Norovirus_GV.1a,1687,0.916848
42,Norovirus_GV.1b,1701,0.924457
43,Norovirus_GV.1c,1700,0.923913
44,Norovirus_GV.1d,1688,0.917391
45,Norovirus_GV.1e,1687,0.916848
46,Norovirus_GV.1f,1688,0.917391
47,Norovirus_GV.1g,1688,0.917391
48,Norovirus_GV.1h,1687,0.916848
49,Norovirus_GV.1i,1687,0.916848
50,Norovirus_GV.1j,1687,0.916848
51,Norovirus_GVI.1a,1746,0.948913
52,Norovirus_GVI.1b,1746,0.948913
53,Norovirus_GVI.1c,1743,0.947283
54,Norovirus_GVI.1d,1742,0.946739
55,Norovirus_GVI.1e,1742,0.946739
56,Norovirus_GVI.1f,1739,0.945109
57,Norovirus_GVI.1g,1739,0.945109
58,Norovirus_GVI.1h,1735,0.942935
59,Norovirus_GVI.1i,1731,0.940761
60,Norovirus_GVI.1j,1731,0.940761
61,Norovirus_GVII.1a,1699,0.92337
62,Norovirus_GVIII.1a,1693,0.920109
63,Norwalk-like_virus,1699,0.92337
