taxon 1,taxon 2,Cij,Iij
Norovirus_GI.1a,Norovirus_GI.1b,0.967935,0.0320652
Norovirus_GI.1a,Norovirus_GI.1c,0.967935,0.0320652
Norovirus_GI.1a,Norovirus_GI.1d,0.967935,0.0320652
Norovirus_GI.1a,Norovirus_GI.1e,0.952174,0.0478261
Norovirus_GI.1a,Norovirus_GI.1f,0.968478,0.0315217
Norovirus_GI.1a,Norovirus_GI.1g,0.969565,0.0304348
Norovirus_GI.1a,Norovirus_GI.1h,0.969565,0.0304348
Norovirus_GI.1a,Norovirus_GI.1i,0.969565,0.0304348
Norovirus_GI.1a,Norovirus_GI.1j,0.969565,0.0304348
Norovirus_GI.1a,Norovirus_GII.1a,0.913587,0.086413
Norovirus_GI.1a,Norovirus_GII.1b,0.91413,0.0858696
Norovirus_GI.1a,Norovirus_GII.1c,0.9125,0.0875
Norovirus_GI.1a,Norovirus_GII.1d,0.913587,0.086413
Norovirus_GI.1a,Norovirus_GII.1e,0.916304,0.0836957
Norovirus_GI.1a,Norovirus_GII.1f,0.914674,0.0853261
Norovirus_GI.1a,Norovirus_GII.1g,0.914674,0.0853261
Norovirus_GI.1a,Norovirus_GII.1h,0.920652,0.0793478
Norovirus_GI.1a,Norovirus_GII.1i,0.920652,0.0793478
Norovirus_GI.1a,Norovirus_GII.1j,0.920652,0.0793478
Norovirus_GI.1a,Norovirus_GIII.1a,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1b,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1c,0.908152,0.0918478
Norovirus_GI.1a,Norovirus_GIII.1d,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1e,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1f,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1g,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1h,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1i,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIII.1j,0.909239,0.0907609
Norovirus_GI.1a,Norovirus_GIV.1a,0.940761,0.0592391
Norovirus_GI.1a,Norovirus_GIV.1b,0.908696,0.0913043
Norovirus_GI.1a,Norovirus_GIV.1c,0.911957,0.0880435
Norovirus_GI.1a,Norovirus_GIV.1d,0.910326,0.0896739
Norovirus_GI.1a,Norovirus_GIV.1e,0.940761,0.0592391
Norovirus_GI.1a,Norovirus_GIV.1f,0.940761,0.0592391
Norovirus_GI.1a,Norovirus_GIV.1g,0.940761,0.0592391
Norovirus_GI.1a,Norovirus_GIV.1h,0.940761,0.0592391
