Program, Homo
Version, 2.0
Input file,../../work/4_mask/Mask.fst
Characters,Recoded amino acids (AGPST|DENQ|HKR|MIVL|WFY|C) [D6]
Sequences,63

Taxon 1,Taxon 2,Bowker,df,p,defs,dems,dcfs,Sites
Norovirus_GI.1a,Norovirus_GI.1b,12.7476,11,0.310141,0.0046044,0.00482483,1.07651,1551
Norovirus_GI.1a,Norovirus_GI.1c,10.5515,12,0.567693,0.00535566,0.00840645,0.937706,1551
Norovirus_GI.1a,Norovirus_GI.1d,11.7781,12,0.463662,0.00455904,0.00746347,0.990711,1551
Norovirus_GI.1a,Norovirus_GI.1e,8.84671,11,0.636039,0.00417843,0.00315859,0.896798,1551
Norovirus_GI.1a,Norovirus_GI.1f,8.76619,9,0.459131,0.00535566,0.00547085,0.986925,1551
Norovirus_GI.1a,Norovirus_GI.1g,11.2613,12,0.50667,0.00478156,0.00706283,0.968731,1551
Norovirus_GI.1a,Norovirus_GI.1h,11.3333,12,0.500589,0.00495238,0.00717958,0.971825,1551
Norovirus_GI.1a,Norovirus_GI.1i,10.1556,12,0.602316,0.00455904,0.00569424,0.919944,1551
Norovirus_GI.1a,Norovirus_GI.1j,10.0909,12,0.607985,0.00451322,0.00625104,0.917011,1551
Norovirus_GI.1a,Norovirus_GII.1a,12.2577,13,0.506632,0.011871,0.00830696,0.971031,1551
Norovirus_GI.1a,Norovirus_GII.1b,16.2479,15,0.365771,0.0163575,0.0107639,1.04077,1549
Norovirus_GI.1a,Norovirus_GII.1c,12.0394,14,0.603143,0.0106919,0.00729446,0.927337,1551
Norovirus_GI.1a,Norovirus_GII.1d,18.8302,14,0.17154,0.015866,0.00995949,1.15975,1549
Norovirus_GI.1a,Norovirus_GII.1e,9.75488,14,0.779876,0.00964966,0.00717958,0.834732,1551
Norovirus_GI.1a,Norovirus_GII.1f,12.5463,13,0.483436,0.0123684,0.0103962,0.982395,1551
Norovirus_GI.1a,Norovirus_GII.1g,12.4197,13,0.493562,0.0121821,0.00943181,0.977427,1551
Norovirus_GI.1a,Norovirus_GII.1h,7.25576,13,0.888494,0.00947578,0.00951955,0.747085,1551
Norovirus_GI.1a,Norovirus_GII.1i,7.86302,13,0.852408,0.0109036,0.00969265,0.77772,1551
Norovirus_GI.1a,Norovirus_GII.1j,9.37305,13,0.744221,0.00973544,0.00800108,0.849119,1551
Norovirus_GI.1a,Norovirus_GIII.1a,12.7263,14,0.548182,0.0125021,0.0181676,0.953425,1551
Norovirus_GI.1a,Norovirus_GIII.1b,12.7263,14,0.548182,0.0125021,0.0181676,0.953425,1551
Norovirus_GI.1a,Norovirus_GIII.1c,15.2093,14,0.364,0.0148763,0.0200441,1.04229,1549
Norovirus_GI.1a,Norovirus_GIII.1d,13.1487,14,0.514851,0.012301,0.0169115,0.969119,1551
Norovirus_GI.1a,Norovirus_GIII.1e,13.6391,14,0.47693,0.0131503,0.0192562,0.987026,1551
Norovirus_GI.1a,Norovirus_GIII.1f,13.3962,14,0.495595,0.0125187,0.0169606,0.978196,1551
Norovirus_GI.1a,Norovirus_GIII.1g,13.3962,14,0.495595,0.0125187,0.0169606,0.978196,1551
Norovirus_GI.1a,Norovirus_GIII.1h,14.4399,14,0.417476,0.0134318,0.0199142,1.01559,1551
Norovirus_GI.1a,Norovirus_GIII.1i,14.8298,15,0.463743,0.0132291,0.0195561,0.994312,1551
Norovirus_GI.1a,Norovirus_GIII.1j,13.3962,14,0.495595,0.0125187,0.0169606,0.978196,1551
Norovirus_GI.1a,Norovirus_GIV.1a,13.0327,14,0.523947,0.0121137,0.0181905,0.964837,1551
Norovirus_GI.1a,Norovirus_GIV.1b,10.2732,13,0.671454,0.0136761,0.0124648,0.888959,1539
Norovirus_GI.1a,Norovirus_GIV.1c,26.904,15,0.0295282,0.023096,0.0126336,1.33925,1543
Norovirus_GI.1a,Norovirus_GIV.1d,10.7297,14,0.707124,0.0138511,0.0128565,0.875448,1540
Norovirus_GI.1a,Norovirus_GIV.1e,13.0327,14,0.523947,0.0121137,0.0181905,0.964837,1551
Norovirus_GI.1a,Norovirus_GIV.1f,11.6258,14,0.636324,0.0111859,0.0166639,0.911272,1551
Norovirus_GI.1a,Norovirus_GIV.1g,13.8091,15,0.540054,0.0120793,0.017107,0.959483,1551
Norovirus_GI.1a,Norovirus_GIV.1h,13.0327,14,0.523947,0.0121137,0.0181905,0.964837,1551
Norovirus_GI.1a,Norovirus_GIV.1i,12.144,14,0.594743,0.0102553,0.0169361,0.931357,1551
Norovirus_GI.1a,Norovirus_GIV.1j,12.5514,14,0.562112,0.0105942,0.0176099,0.946851,1551
Norovirus_GI.1a,Norovirus_GV.1a,9.37699,14,0.806169,0.00967118,0.00898026,0.818404,1551
Norovirus_GI.1a,Norovirus_GV.1b,5.16349,13,0.971415,0.00976936,0.00944399,0.630231,1549
Norovirus_GI.1a,Norovirus_GV.1c,4.42478,13,0.985777,0.00892206,0.00780055,0.58341,1549
Norovirus_GI.1a,Norovirus_GV.1d,6.24922,14,0.959813,0.00779049,0.00694412,0.668112,1551
Norovirus_GI.1a,Norovirus_GV.1e,7.86605,14,0.896187,0.0102958,0.00784367,0.749573,1551
Norovirus_GI.1a,Norovirus_GV.1f,8.32958,14,0.871459,0.00923135,0.00810432,0.771343,1551
Norovirus_GI.1a,Norovirus_GV.1g,8.8064,14,0.843249,0.00973544,0.00810432,0.793113,1551
Norovirus_GI.1a,Norovirus_GV.1h,9.37699,14,0.806169,0.00967118,0.00898026,0.818404,1551
Norovirus_GI.1a,Norovirus_GV.1i,8.38593,14,0.868267,0.00932098,0.00830696,0.773948,1551
Norovirus_GI.1a,Norovirus_GV.1j,8.38593,14,0.868267,0.00932098,0.00830696,0.773948,1551
Norovirus_GI.1a,Norovirus_GVI.1a,13.764,14,0.467439,0.0107694,0.0173243,0.991535,1551
Norovirus_GI.1a,Norovirus_GVI.1b,14.0058,14,0.449281,0.0108846,0.0174915,1.00021,1551
Norovirus_GI.1a,Norovirus_GVI.1c,9.97934,14,0.763693,0.00865017,0.0159762,0.844281,1551
Norovirus_GI.1a,Norovirus_GVI.1d,11.654,14,0.634068,0.0104759,0.0178677,0.912375,1551
Norovirus_GI.1a,Norovirus_GVI.1e,11.654,14,0.634068,0.0104759,0.0178677,0.912375,1551
Norovirus_GI.1a,Norovirus_GVI.1f,13.764,14,0.467439,0.0107694,0.0173243,0.991535,1551
Norovirus_GI.1a,Norovirus_GVI.1g,16.2295,14,0.299563,0.0116308,0.0214752,1.07668,1550
Norovirus_GI.1a,Norovirus_GVI.1h,9.92924,14,0.767338,0.00852918,0.0160022,0.842159,1551
